"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent","staybias","leavebias","win","lose","SelfPrev"
"wsls_agent",1,"random_agent",0,117,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,118,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,119,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,120,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,121,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,122,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,123,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,124,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,125,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,126,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,127,1,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,128,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,129,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,130,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,131,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,132,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,133,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,134,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,135,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,136,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,137,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,138,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,139,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,140,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,141,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,142,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,143,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,144,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,145,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,146,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,147,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,148,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,149,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,150,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,151,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,152,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,153,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,154,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,155,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,156,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,157,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,158,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,159,0,1,0.5,0.5,1,0,1
