"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent"
"wsls_agent",0,"random_agent",0,85,1,2
"wsls_agent",0,"random_agent",1,86,0,2
"wsls_agent",1,"random_agent",0,87,0,2
"wsls_agent",0,"random_agent",1,88,0,2
"wsls_agent",1,"random_agent",1,89,1,2
"wsls_agent",1,"random_agent",1,90,1,2
"wsls_agent",1,"random_agent",1,91,1,2
"wsls_agent",1,"random_agent",1,92,1,2
"wsls_agent",1,"random_agent",1,93,1,2
"wsls_agent",1,"random_agent",0,94,0,2
"wsls_agent",0,"random_agent",1,95,0,2
"wsls_agent",1,"random_agent",1,96,1,2
"wsls_agent",1,"random_agent",0,97,0,2
"wsls_agent",0,"random_agent",0,98,1,2
"wsls_agent",0,"random_agent",1,99,0,2
"wsls_agent",1,"random_agent",0,100,0,2
"wsls_agent",0,"random_agent",1,101,0,2
"wsls_agent",1,"random_agent",0,102,0,2
"wsls_agent",0,"random_agent",0,103,1,2
"wsls_agent",0,"random_agent",1,104,0,2
"wsls_agent",1,"random_agent",0,105,0,2
"wsls_agent",0,"random_agent",1,106,0,2
"wsls_agent",1,"random_agent",1,107,1,2
"wsls_agent",1,"random_agent",1,108,1,2
"wsls_agent",0,"random_agent",1,109,0,2
"wsls_agent",1,"random_agent",0,110,0,2
"wsls_agent",0,"random_agent",0,111,1,2
"wsls_agent",0,"random_agent",1,112,0,2
"wsls_agent",1,"random_agent",0,113,0,2
"wsls_agent",0,"random_agent",0,114,1,2
"wsls_agent",0,"random_agent",1,115,0,2
"wsls_agent",1,"random_agent",0,116,0,2
"wsls_agent",0,"random_agent",1,117,0,2
"wsls_agent",1,"random_agent",0,118,0,2
"wsls_agent",0,"random_agent",1,119,0,2
"wsls_agent",1,"random_agent",0,120,0,2
"wsls_agent",0,"random_agent",1,1,0,3
"wsls_agent",1,"random_agent",1,2,1,3
"wsls_agent",1,"random_agent",0,3,0,3
"wsls_agent",0,"random_agent",1,4,0,3
"wsls_agent",1,"random_agent",1,5,1,3
"wsls_agent",1,"random_agent",1,6,1,3
"wsls_agent",1,"random_agent",0,7,0,3
"wsls_agent",0,"random_agent",1,8,0,3
"wsls_agent",1,"random_agent",0,9,0,3
"wsls_agent",0,"random_agent",0,10,1,3
"wsls_agent",0,"random_agent",1,11,0,3
