TimeStamp,ID,Participant,Booking_system,Item,Score,ScoreN,Component
2/4/2022 11:47:18,QWERTY1001,Participant,NFB,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:48:00,240696xxxxx,Participant,NFB,Enhance_Effectiveness,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:48:04,anja220,Participant,Cinemaxx,Enhance_Effectiveness,Neither agree nor disagree,4,Percieved Usefulness
2/4/2022 11:48:13,AL,Participant,NFB,Enhance_Effectiveness,Slightly agree,5,Percieved Usefulness
2/4/2022 11:48:26,8888,Participant,NFB,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:48:36,2020,Participant,Cinemaxx,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:50:32,anja220,Participant,NFB,Enhance_Effectiveness,Slightly agree,5,Percieved Usefulness
2/4/2022 11:50:37,Athen,Participant,NFB,Enhance_Effectiveness,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:50:57,gamer,Participant,NFB,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:52:05,Melina,Participant,Cinemaxx,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:52:16,Jakob,Participant,Cinemaxx,Enhance_Effectiveness,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:52:34,stine,Participant,Cinemaxx,Enhance_Effectiveness,Neither agree nor disagree,4,Percieved Usefulness
2/4/2022 11:52:39,KK,Anthropologist,NFB,Enhance_Effectiveness,Slightly agree,5,Percieved Usefulness
2/4/2022 11:52:58,ACM,Anthropologist,NFB,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:54:36,704314,Participant,NFB,Enhance_Effectiveness,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:54:37,SK95,Participant,NFB,Enhance_Effectiveness,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:55:29,gHoStFaCeKiLlEr,Anthropologist,Cinemaxx,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:55:32,240696xxxx,Participant,Cinemaxx,Enhance_Effectiveness,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:55:34,8888,Participant,Cinemaxx,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:55:43,QWERTY1001,Participant,Cinemaxx,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:56:18,gamer,Participant,Cinemaxx,Enhance_Effectiveness,Slightly disagree,3,Percieved Usefulness
2/4/2022 11:56:21,gHoStFaCeKiLlEr,Anthropologist,NFB,Enhance_Effectiveness,Slightly agree,5,Percieved Usefulness
2/4/2022 11:56:34,Melina,Participant,NFB,Enhance_Effectiveness,Agree,6,Percieved Usefulness
2/4/2022 11:56:43,KK,Anthropologist,Cinemaxx,Enhance_Effectiveness,Slightly agree,5,Percieved Usefulness
2/4/2022 11:56:50,704314,Participant,Cinemaxx,Enhance_Effectiveness,Strongly Agree,7,Percieved Usefulness
