"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent"
"bias_detector_agent",1,"wsls_agent",1,29,1,2
"bias_detector_agent",1,"wsls_agent",0,30,0,2
"bias_detector_agent",1,"wsls_agent",0,31,0,2
"bias_detector_agent",0,"wsls_agent",1,32,0,2
"bias_detector_agent",1,"wsls_agent",0,33,0,2
"bias_detector_agent",0,"wsls_agent",1,34,0,2
"bias_detector_agent",1,"wsls_agent",0,35,0,2
"bias_detector_agent",0,"wsls_agent",1,36,0,2
"bias_detector_agent",1,"wsls_agent",0,37,0,2
"bias_detector_agent",0,"wsls_agent",1,38,0,2
"bias_detector_agent",1,"wsls_agent",0,39,0,2
"bias_detector_agent",0,"wsls_agent",1,40,0,2
"bias_detector_agent",1,"wsls_agent",0,41,0,2
"bias_detector_agent",1,"wsls_agent",1,42,1,2
"bias_detector_agent",1,"wsls_agent",0,43,0,2
"bias_detector_agent",1,"wsls_agent",1,44,1,2
"bias_detector_agent",1,"wsls_agent",0,45,0,2
"bias_detector_agent",1,"wsls_agent",1,46,1,2
"bias_detector_agent",1,"wsls_agent",1,47,1,2
"bias_detector_agent",1,"wsls_agent",0,48,0,2
"bias_detector_agent",1,"wsls_agent",1,49,1,2
"bias_detector_agent",1,"wsls_agent",0,50,0,2
"bias_detector_agent",1,"wsls_agent",1,51,1,2
"bias_detector_agent",1,"wsls_agent",0,52,0,2
"bias_detector_agent",0,"wsls_agent",0,53,1,2
"bias_detector_agent",1,"wsls_agent",1,54,1,2
"bias_detector_agent",1,"wsls_agent",0,55,0,2
"bias_detector_agent",1,"wsls_agent",1,56,1,2
"bias_detector_agent",1,"wsls_agent",0,57,0,2
"bias_detector_agent",0,"wsls_agent",1,58,0,2
"bias_detector_agent",1,"wsls_agent",0,59,0,2
"bias_detector_agent",0,"wsls_agent",1,60,0,2
"bias_detector_agent",1,"wsls_agent",0,61,0,2
"bias_detector_agent",0,"wsls_agent",1,62,0,2
"bias_detector_agent",1,"wsls_agent",0,63,0,2
