ID,FaceID,Trial_Round1,FirstRating,OtherRating,Trial_Round2,SecondRating,Feedback,Change,Class
12,32,172,5,2,272,5,-3,0,1
12,33,165,2,0,265,3,-2,1,1
12,34,111,3,5,211,3,2,0,1
12,35,175,8,8,275,8,0,0,1
12,36,132,3,3,232,3,0,0,1
12,37,164,6,3,264,6,-3,0,1
12,38,169,1,4,269,2,3,1,1
12,39,13,8,5,23,6,-3,-2,1
12,4,12,6,6,22,4,0,-2,1
12,40,145,5,8,245,7,3,2,1
12,41,147,5,5,247,7,0,2,1
12,42,149,2,0,249,3,-2,1,1
12,43,159,2,2,259,6,0,4,1
12,44,121,4,4,221,2,0,-2,1
12,45,112,6,3,212,5,-3,-1,1
12,46,17,7,4,27,5,-3,-2,1
12,47,157,8,0,257,8,-8,0,1
12,48,19,5,0,29,3,-5,-2,1
12,49,170,1,4,270,2,3,1,1
12,5,152,6,3,252,5,-3,-1,1
12,50,174,5,3,274,7,-2,2,1
12,51,15,6,8,25,1,2,-5,1
12,52,130,5,3,230,5,-2,0,1
12,53,115,5,7,215,4,2,-1,1
12,54,14,2,4,24,1,2,-1,1
12,55,150,1,3,250,1,2,0,1
12,56,151,8,5,251,8,-3,0,1
12,57,160,1,4,260,1,3,0,1
12,58,179,4,7,279,5,3,1,1
12,59,146,7,4,246,8,-3,1,1
12,6,133,3,0,233,3,-3,0,1
12,60,177,2,4,277,2,2,0,1
12,61,124,4,7,224,4,3,0,1
12,62,143,1,3,243,1,2,0,1
12,63,137,5,5,237,6,0,1,1
12,64,173,2,0,273,4,-2,2,1
12,65,18,7,4,28,8,-3,1,1
12,66,110,6,6,210,4,0,-2,1
12,67,167,7,7,267,8,0,1,1
12,68,154,2,2,254,3,0,1,1
12,69,178,6,8,278,7,2,1,1
12,7,158,4,6,258,4,2,0,1
12,70,114,7,5,214,6,-2,-1,1
12,71,134,7,4,234,8,-3,1,1
12,72,116,3,6,216,4,3,1,1
12,73,117,3,0,217,3,-3,0,1
12,74,168,8,5,268,7,-3,-1,1
12,75,128,5,8,228,6,3,1,1
12,76,140,8,5,240,8,-3,0,1
12,77,139,6,4,239,4,-2,-2,1
12,78,126,1,4,226,1,3,0,1
12,79,118,8,8,218,8,0,0,1
12,8,141,7,0,241,6,-7,-1,1
12,80,119,5,2,219,8,-3,3,1
12,81,176,2,4,276,2,2,0,1
12,9,120,2,5,220,3,3,1,1
13,10,144,6,4,244,4,-2,-2,1
13,11,154,6,6,254,7,0,1,1
13,12,152,5,8,252,6,3,1,1
13,13,157,3,0,257,3,-3,0,1
13,14,124,3,6,224,3,3,0,1
13,15,167,3,3,267,4,0,1,1
13,16,11,6,0,21,5,-6,-1,1
13,17,115,6,6,215,7,0,1,1
13,18,149,6,0,249,6,-6,0,1
13,19,131,7,7,231,6,0,-1,1
13,2,116,5,5,216,3,0,-2,1
13,20,169,6,4,269,7,-2,1,1
13,21,18,4,6,28,3,2,-1,1
13,22,175,3,6,275,4,3,1,1
13,23,142,5,7,242,6,2,1,1
13,24,13,6,3,23,5,-3,-1,1
13,25,165,5,0,265,4,-5,-1,1
13,26,139,8,6,239,8,-2,0,1
13,27,137,7,7,237,5,0,-2,1
13,28,143,5,8,243,5,3,0,1
13,29,112,7,5,212,6,-2,-1,1
13,3,141,4,0,241,5,-4,1,1
13,30,128,4,1,228,2,-3,-2,1
13,31,147,7,4,247,7,-3,0,1
13,32,19,5,0,29,5,-5,0,1
13,33,172,3,5,272,4,2,1,1
13,34,17,6,6,27,5,0,-1,1
13,35,136,5,2,236,4,-3,-1,1
13,36,174,2,5,274,3,3,1,1
13,37,114,8,5,214,8,-3,0,1
13,38,162,3,3,262,4,0,1,1
13,39,178,4,7,278,3,3,-1,1
13,4,121,6,8,221,7,2,1,1
13,40,179,5,5,279,5,0,0,1
13,41,130,4,7,230,4,3,0,1
13,42,145,3,1,245,2,-2,-1,1
13,43,129,5,7,229,5,2,0,1
13,44,120,5,3,220,4,-2,-1,1
13,45,146,5,7,246,6,2,1,1
13,46,127,6,4,227,6,-2,0,1
13,47,177,7,4,277,7,-3,0,1
13,48,160,5,3,260,5,-2,0,1
13,49,119,3,5,219,3,2,0,1
13,5,173,6,0,273,7,-6,1,1
13,50,122,7,5,222,7,-2,0,1
13,51,163,3,5,263,4,2,1,1
13,52,161,4,1,261,4,-3,0,1
