Education,Year,ID,Framing,BotStrategy,Trial,Decision,BotDecision,Payoff
Religion,2019,keg6gw9g,Human,RS,21,1,0,-1
Religion,2019,keg6gw9g,Human,RS,22,0,1,-1
Religion,2019,keg6gw9g,Human,RS,23,1,0,-1
Religion,2019,keg6gw9g,Human,RS,24,1,0,-1
Religion,2019,keg6gw9g,Human,WSLS,3,0,1,-1
Religion,2019,keg6gw9g,Human,WSLS,4,0,1,-1
Religion,2019,keg6gw9g,Human,WSLS,5,0,1,-1
Religion,2019,keg6gw9g,Human,WSLS,6,1,1,1
Religion,2019,keg6gw9g,Human,WSLS,7,1,0,-1
Religion,2019,keg6gw9g,Human,WSLS,8,1,0,-1
Religion,2019,keg6gw9g,Human,WSLS,9,0,0,1
Nordic,2019,ley9qo2o,Human,WSLS,1,1,0,-1
Nordic,2019,ley9qo2o,Human,WSLS,10,1,0,-1
Nordic,2019,ley9qo2o,Human,WSLS,11,0,0,1
Nordic,2019,ley9qo2o,Human,WSLS,12,0,1,-1
Nordic,2019,ley9qo2o,Human,RS,13,0,1,-1
Nordic,2019,ley9qo2o,Human,RS,14,0,1,-1
Nordic,2019,ley9qo2o,Human,RS,15,1,0,-1
Nordic,2019,ley9qo2o,Human,RS,16,0,1,-1
Nordic,2019,ley9qo2o,Human,RS,17,1,0,-1
Nordic,2019,ley9qo2o,Human,RS,18,1,0,-1
Nordic,2019,ley9qo2o,Human,RS,19,1,0,-1
Nordic,2019,ley9qo2o,Human,WSLS,2,0,0,1
Nordic,2019,ley9qo2o,Human,RS,20,0,1,-1
Nordic,2019,ley9qo2o,Human,RS,21,1,0,-1
Nordic,2019,ley9qo2o,Human,RS,22,1,0,-1
Nordic,2019,ley9qo2o,Human,RS,23,0,1,-1
Nordic,2019,ley9qo2o,Human,RS,24,1,0,-1
Nordic,2019,ley9qo2o,Human,WSLS,3,0,1,-1
Nordic,2019,ley9qo2o,Human,WSLS,4,0,1,-1
Nordic,2019,ley9qo2o,Human,WSLS,5,0,1,-1
